storeId,store_name,store_image,store_rating,store_category,store_address,store_view,store_review
51,커피템플,"https://mp-seoul-image-production-s3.mangoplate.com/546909_1638867141711005.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,카페 / 디저트,제주 제주시내 ,"6,611",9
52,산지해장국,"https://mp-seoul-image-production-s3.mangoplate.com/278544/101492_1482920310333_20242?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,탕 / 찌개 / 전골,제주 제주시내 ,"5,553",10
53,가는곶 세화,"https://mp-seoul-image-production-s3.mangoplate.com/1981833_1664180825207261.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,베이커리,제주 함덕/김녕 ,"3,783",8
54,제주약수터                                    (올레시장점),"https://mp-seoul-image-production-s3.mangoplate.com/2094618_1655556712923670.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,(올레시장점),제주 서귀포시내 ,"6,331",8
55,원담,"https://mp-seoul-image-production-s3.mangoplate.com/321443/777405_1494336083738_17291?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,해산물 요리,제주 제주시내 ,"8,172",15
56,해왓,"https://mp-seoul-image-production-s3.mangoplate.com/880231_1641308405371327.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,한정식 / 백반 / 정통 한식,제주 성산/우도 ,"12,180",9
57,리보스코화덕피자,"https://mp-seoul-image-production-s3.mangoplate.com/18517/101492_1469281401919_14648?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,이탈리안,제주 제주시내 ,"5,172",8
58,풀사이드바                                    (신라호텔제주),"https://mp-seoul-image-production-s3.mangoplate.com/220834/672829_1559469894672_28378?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,(신라호텔제주),제주 중문단지 ,"13,758",8
59,정성듬뿍제주국,"https://mp-seoul-image-production-s3.mangoplate.com/766789_1523246630291253.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,한정식 / 백반 / 정통 한식,제주 제주시내 ,"5,839",7
60,금능샌드,"https://mp-seoul-image-production-s3.mangoplate.com/926525_1535469067765855.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,브런치 / 버거 / 샌드위치,제주 한림/애월 ,"14,905",8
61,피즈,"https://mp-seoul-image-production-s3.mangoplate.com/430626/1253803_1600048952555_27927?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,브런치 / 버거 / 샌드위치,제주 한림/애월 ,"9,048",10
62,코시롱,"https://mp-seoul-image-production-s3.mangoplate.com/221715/wukvhkzynxtz48.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,국수 / 면 요리,제주 제주시내 ,"10,076",10
63,갓포아키                                    (제주도점),"https://mp-seoul-image-production-s3.mangoplate.com/1182605_1661500147302080.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,(제주도점),제주 제주시내 ,"4,172",6
64,숙성도                                    (함덕점),"https://mp-seoul-image-production-s3.mangoplate.com/933725_1664425118130758.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,(함덕점),제주 함덕/김녕 ,778,4
65,다운타우너                                    (제주점),"https://mp-seoul-image-production-s3.mangoplate.com/2229495_1656418292841963.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,(제주점),제주 한림/애월 ,"3,773",5
66,명진전복,"https://mp-seoul-image-production-s3.mangoplate.com/619788_1509614607347655.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.2,해산물 요리,제주 함덕/김녕 ,"219,687",203
67,피어22,"https://mp-seoul-image-production-s3.mangoplate.com/262650/24871_1511242710239_16073?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.2,해산물 요리,제주 한림/애월 ,"207,573",91
68,우유부단,"https://mp-seoul-image-production-s3.mangoplate.com/260379/40403_1532084639907_19197?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.2,카페 / 디저트,제주 한림/애월 ,"42,466",78
69,그리운바다성산포,"https://mp-seoul-image-production-s3.mangoplate.com/704301_1499961447202432.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.2,해산물 요리,제주 성산/우도 ,"59,225",37
70,미남미녀 (휴업중),"https://mp-seoul-image-production-s3.mangoplate.com/664857_1498411155717180.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.2,카페 / 디저트,제주 중문단지 ,"60,605",14
71,송림반점,"https://mp-seoul-image-production-s3.mangoplate.com/1806055_1605497930761599.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.2,정통 중식 / 일반 중식,제주 제주시내 ,"41,154",21
72,ABC베이커리,"https://mp-seoul-image-production-s3.mangoplate.com/396208/871103_1563464170422_33461?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.2,베이커리,제주 제주시내 ,"28,033",15
73,토템오어,"https://mp-seoul-image-production-s3.mangoplate.com/1723486_1603883753873434.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.2,카페 / 디저트,제주 한림/애월 ,"13,260",12
74,더 캔버스                                    (롯데호텔제주점),"https://mp-seoul-image-production-s3.mangoplate.com/495395_1626243062806774.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.2,(롯데호텔제주점),제주 중문단지 ,"5,444",7
75,섬모라                                    (제주해비치호텔),"https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/68_1444891063216.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.2,(제주해비치호텔),제주 표선/성읍 ,"27,783",15
76,김희선몸국,"https://mp-seoul-image-production-s3.mangoplate.com/1743214_1616980080612907.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.2,한정식 / 백반 / 정통 한식,제주 제주시내 ,"45,991",40
77,온오프,"https://mp-seoul-image-production-s3.mangoplate.com/134162_1504750272263937.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.2,까스 요리,제주 성산/우도 ,"15,478",17
78,오롯 (휴업중),"https://mp-seoul-image-production-s3.mangoplate.com/328713/553783_1513565638568_158891?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.2,한정식 / 백반 / 정통 한식,제주 제주시내 ,"26,565",14
79,운산식당,"https://mp-seoul-image-production-s3.mangoplate.com/232499/29726_1452157181557_26451?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.2,고기 요리,제주 제주시내 ,"20,501",13
80,광명식당,"https://mp-seoul-image-production-s3.mangoplate.com/153930/1180388_1588819236478_11034?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.2,탕 / 찌개 / 전골,제주 제주시내 ,"37,572",22
81,어니스트밀크 치즈룸,"https://mp-seoul-image-production-s3.mangoplate.com/679704_1624715704797187.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.2,카페 / 디저트,제주 성산/우도 ,"12,697",9
82,히노데,"https://mp-seoul-image-production-s3.mangoplate.com/15423/kuer-5tjtdkmgy.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.2,해산물 요리,제주 중문단지 ,"11,587",6
83,대포칼제비,"https://mp-seoul-image-production-s3.mangoplate.com/405642/1148532_1616127269815_13556?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.2,국수 / 면 요리,제주 서귀포시내 ,"14,052",10
84,큰돈가                                    (중문점),"https://mp-seoul-image-production-s3.mangoplate.com/2068598_1648868181793000.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.2,(중문점),제주 중문단지 ,"7,602",7
85,순창갈비,"https://mp-seoul-image-production-s3.mangoplate.com/220006/fbxr7wndod7x93.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.2,고기 요리,제주 제주시내 ,"14,323",8
86,제주 하멜,"https://mp-seoul-image-production-s3.mangoplate.com/679704_1608777790433535.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.2,베이커리,제주 제주시내 ,"12,409",9
87,으뜨미,"https://mp-seoul-image-production-s3.mangoplate.com/388200/259007_1630142628633_13773?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.2,한정식 / 백반 / 정통 한식,제주 제주시내 ,"7,535",9
88,만선바다,"https://mp-seoul-image-production-s3.mangoplate.com/18434/140045_1448774490867_14289?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.2,해산물 요리,제주 제주시내 ,"9,575",7
